state,abbrev,id_strictness,health_children,health_adults,health_seniors,food,eitc,partisan_lean
Alabama,AL,3,0,0,0,0,0,-25.5
Alaska,AK,4,0,0,0,0,0,-10.1
Arizona,AZ,2,0,0,0,0,0,0.3
Arkansas,AR,1,0,0,0,0,0,-27.4
California,CA,5,1,1,0,1,1,29.2
Colorado,CO,4,0,1,0,0,1,13.5
Connecticut,CT,4,1,0,0,0,0,20.1
Delaware,DE,4,0,0,0,0,0,18.8
Florida,FL,3,0,0,0,0,0,-3.3
Georgia,GA,1,0,0,0,0,0,0.2
Hawaii,HI,5,0,0,0,0,0,29.5
Idaho,ID,3,0,0,0,0,0,-30.8
Illinois,IL,5,1,0,1,1,1,17.0
Indiana,IN,1,0,0,0,0,0,-16.1
Iowa,IA,4,0,0,0,0,0,-8.2
Kansas,KS,1,0,0,0,0,0,-14.6
Kentucky,KY,3,0,0,0,0,0,-26.0
Louisiana,LA,3,0,0,0,0,0,-18.6
Maine,ME,5,1,0,0,1,1,9.1
Maryland,MD,5,0,0,0,0,1,33.1
Massachusetts,MA,5,1,0,0,0,0,33.5
Michigan,MI,3,0,0,0,0,0,2.8
Minnesota,MN,5,1,1,0,1,1,7.1
Mississippi,MS,1,0,0,0,0,0,-16.5
Missouri,MO,3,0,0,0,0,0,-15.4
Montana,MT,3,0,0,0,0,0,-16.4
Nebraska,NE,3,0,0,0,0,0,-19.2
Nevada,NV,5,0,0,0,0,0,2.4
New Hampshire,NH,1,0,0,0,0,0,7.4
New Jersey,NJ,5,1,0,0,0,0,15.9
New Mexico,NM,5,0,0,0,0,1,10.8
New York,NY,5,1,0,1,0,0,23.1
North Carolina,NC,1,0,0,0,0,0,-1.3
North Dakota,ND,1,0,0,0,0,0,-33.4
Ohio,OH,1,0,0,0,0,0,-8.0
Oklahoma,OK,4,0,0,0,0,0,-33.1
Oregon,OR,5,1,1,0,0,1,16.1
Pennsylvania,PA,5,0,0,0,0,0,1.2
Rhode Island,RI,3,1,0,0,0,0,20.8
South Carolina,SC,3,0,0,0,0,0,-11.7
South Dakota,SD,3,0,0,0,0,0,-26.2
Tennessee,TN,1,0,0,0,0,0,-23.3
Texas,TX,3,0,0,0,0,0,-5.6
Utah,UT,4,1,0,0,0,0,-20.5
Vermont,VT,5,1,0,0,0,1,35.4
Virginia,VA,4,0,0,0,0,0,10.1
Washington,WA,4,1,1,0,1,1,19.2
West Virginia,WV,3,0,0,0,0,0,-38.9
Wisconsin,WI,1,0,0,0,0,0,0.6
Wyoming,WY,2,0,0,0,0,0,-43.4
District of Columbia,DC,5,1,1,0,0,1,86.8
